refseqID,description
NC_054859.1,Aspergillus puulaauensis MK2 DNA
NC_050724.1,Zygotorulaspora mrakii chromosome 6
NC_042509.1,Pichia kudriavzevii chromosome 4
NC_031673.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome D
NC_052376.1,Brettanomyces nanus chromosome 3
NC_050727.1,Torulaspora globosa chromosome 1
NC_040201.1,Malassezia restricta chromosome IX
NC_037316.1,Botrytis cinerea B05.10 chromosome 7
NC_006042.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome F complete sequence
NC_031672.1,Sugiyamaella lignohabitans strain CBS 10342 chromosome A
NC_036027.1,Kluyveromyces marxianus DMKU3-1042 DNA
NC_006039.1,Kluyveromyces lactis strain NRRL Y-1140 chromosome C complete sequence
NC_005787.5,Eremothecium gossypii ATCC 10895 chromosome VI
NC_017042.1,Rickettsia rhipicephali str. 3-7-female6-CWPP
NZ_CP013672.1,Streptococcus pyogenes strain AP53 chromosome
NZ_CP018109.1,Escherichia coli strain MRSN346595 chromosome
NZ_CP026592.1,Clostridioides difficile strain CD-10-00484 chromosome
NZ_CP060719.1,Thermomonas carbonis strain KCTC 42013 chromosome
NZ_CP027006.1,Akkermansia muciniphila strain EB-AMDK-30 chromosome
NZ_CP068724.1,Bacillus cereus strain AFA01 chromosome
NC_020300.1,Bartonella australis Aust/NH1
NZ_CP045135.1,Acinetobacter indicus strain XG01 chromosome
NZ_CP011346.1,Bacillus velezensis strain JJ-D34 chromosome
NZ_CP063354.1,Serratia marcescens strain SCQ1 chromosome
NZ_CP048409.1,Draconibacterium halophilum strain M1 chromosome
NZ_CP034566.1,Vibrio parahaemolyticus strain D3112 chromosome 2
NZ_CP045144.1,Ancylobacter sp. TS-1 chromosome
NZ_CP026979.1,Pectobacterium parmentieri strain IFB5432 chromosome
NZ_CP069907.1,Klebsiella pneumoniae strain FDAARGOS_1313 chromosome
NZ_CP014032.1,Vibrio fluvialis strain FDAARGOS_100 chromosome 2
NZ_CP037943.1,Escherichia coli strain CFSAN027343 chromosome
NZ_CP046045.1,Acinetobacter towneri strain 19110F47 chromosome
NZ_CP020509.1,Escherichia coli strain 165 chromosome
NZ_CP009929.1,Burkholderia mallei strain FMH chromosome 1
NZ_CP045298.1,Paenibacillus brasilensis strain KACC 13842 chromosome
NZ_CP063759.1,Klebsiella pneumoniae strain FRPDR chromosome
NZ_CP032432.1,Lactococcus cremoris strain W34 plasmid pW34B
NZ_CP015938.1,Legionella pneumophila strain C7_O chromosome
NZ_CP070501.1,Agrococcus sp. Marseille-Q4369 chromosome
NZ_CP036361.1,Klebsiella pneumoniae strain WCHKP2080 chromosome
NZ_CP068157.1,Corynebacterium striatum strain FDAARGOS_1116 chromosome
NZ_CP071869.1,Polaribacter sp. SM13 chromosome
NZ_CP050183.1,Bacillus thuringiensis strain HER1410 chromosome
NZ_CP063003.1,Klebsiella pneumoniae strain CriePir154 chromosome
NZ_CP046752.1,Photobacterium damselae strain 9046-81 chromosome 1
NZ_CP063708.1,Salmonella enterica subsp. enterica serovar Enteritidis strain A1636 chromosome
NZ_CP026598.1,Clostridioides difficile strain 10-00253 chromosome
NZ_CP043041.1,Leptospira interrogans serovar Hardjo strain L53 chromosome 1
NZ_CP010827.1,Corynebacterium singulare strain IBS B52218 chromosome
NZ_CP039250.1,Sphingopyxis sp. PAMC25046 chromosome
NZ_HG938353.1,Neorhizobium galegae bv. orientalis str. HAMBI 540 chromosome I
NZ_CP063341.1,Escherichia coli strain BS90R-A chromosome
NZ_LT904872.1,Salmonella enterica subsp. enterica serovar Typhi strain ERL11909 chromosome 1
NZ_LR134474.1,Kurthia zopfii strain NCTC404 chromosome 1
NZ_CP017617.1,Salmonella enterica subsp. enterica serovar Typhimurium strain 22495 chromosome
NZ_LT906440.1,Neisseria gonorrhoeae strain NCTC13798 chromosome 1
NC_010002.1,Delftia acidovorans SPH-1
NZ_CP064049.1,Enterococcus faecium strain VRE3370 chromosome
NZ_CP055233.1,Bradyrhizobium diazoefficiens strain 113-2 chromosome
NC_017773.1,Rahnella aquatilis HX2 plasmid PRA2
NC_013939.1,Deferribacter desulfuricans SSM1
NZ_CP016007.1,Escherichia coli strain NGF1 chromosome
NZ_CP010596.1,Phaeobacter inhibens strain P10 plasmid pP10_a
NZ_CP038849.1,Salmonella enterica subsp. enterica serovar 1
NZ_LS483457.1,Salmonella enterica subsp. enterica serovar Sundsvall strain NCTC9787 chromosome 1
NZ_CP019306.1,Fusobacterium necrophorum subsp. funduliforme strain F1260 chromosome
NC_007294.1,Mycoplasma synoviae 53
NZ_CP046749.1,Vibrio cholerae strain 2015V-1118 chromosome 1
NZ_CP007188.1,Campylobacter jejuni strain HF5-4A-4 chromosome
NZ_CP022946.1,Francisella orientalis strain FNO135 chromosome
NZ_CP050840.1,Klebsiella pneumoniae strain Bckp101 chromosome
NZ_AP024155.1,Neisseria gonorrhoeae strain TUM 19855 chromosome
NZ_CP043382.1,Enterobacter hormaechei subsp. xiangfangensis strain WCHEX045001 chromosome
NZ_CP046311.1,Lactobacillus crispatus strain FDAARGOS_743 chromosome
NZ_CP009415.1,Candidatus Izimaplasma sp. HR1 chromosome
NZ_CP023970.1,Staphylococcus lugdunensis strain FDAARGOS_381 chromosome
NZ_LR134264.1,Staphylococcus simulans strain NCTC7944 chromosome 1
NZ_CP027310.1,Escherichia coli strain 2014C-4135 chromosome
NZ_CP009771.1,Klebsiella pneumoniae subsp. pneumoniae strain KPNIH33 chromosome
NZ_CP026074.1,Staphylococcus aureus strain FDAARGOS_47 chromosome
NZ_CP031972.1,Acinetobacter haemolyticus strain AN59 chromosome
NZ_LS483508.1,Mycoplasma mycoides subsp. capri strain GM12 isolate synthetic chromosome omosome
NZ_CP034562.1,Flammeovirga pectinis strain L12M1 chromosome 1
NC_008600.1,Bacillus thuringiensis str. Al Hakam
NZ_CP047405.1,Escherichia coli strain MS6193 chromosome
NZ_CP020562.1,Halomonas sp. GT chromosome
NZ_LT827010.1,Actinoplanes sp. SE50/110 isolate ACP50 chromosome I
NZ_CP058566.2,Dehalogenimonas sp. GP chromosome
NZ_CP009239.1,Cellulophaga lytica strain HI1 chromosome
NZ_LR134201.1,Cedecea lapagei strain NCTC11466 chromosome 1
NZ_CP037427.1,Myroides odoratimimus strain G13 chromosome
NZ_CP028355.1,Shewanella baltica strain CW2 chromosome
NZ_CP039907.1,Agrobacterium tumefaciens strain CFBP6624 chromosome circular
NZ_CP019624.1,Listeria monocytogenes strain 10-092876-1016 LM11 chromosome
NZ_CP022794.1,Ralstonia solanacearum strain SL2330 chromosome
NZ_CP018867.1,Lactobacillus alimentarius DSM 20249 chromosome
NZ_CP053603.1,Escherichia coli strain Dam/Dcm chromosome
NZ_CP051468.1,Cereibacter sphaeroides strain CH10 chromosome 1
NZ_AP023410.1,Acetobacter aceti NBRC 14818 chromosome
NZ_CP014936.1,Pediococcus claussenii strain TMW 2.54 chromosome
NZ_CP017149.1,Pseudomonas aeruginosa strain ATCC 15692 chromosome
NC_014924.1,Pseudoxanthomonas suwonensis 11-1
NZ_CP036377.1,Xanthomonas oryzae pv. oryzae strain CIX2374 chromosome
NZ_CP042219.1,Pandoraea pnomenusa strain TF-18 chromosome
NZ_LT009690.1,Staphylococcus aureus strain NZAK3 chromosome 1
NZ_CP026692.1,Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont' strain 5183 chromosome
NZ_CP021556.1,Bifidobacterium breve strain 139W423 chromosome
NZ_LR595897.1,Burkholderia pseudomallei isolate UKMD286 chromosome 2
NZ_CP062945.1,Bifidobacterium longum subsp. longum strain JCM 11340 chromosome
NZ_CP031789.1,Klebsiella pneumoniae strain KSB1_1I-sc-2280289 chromosome
NZ_CP041772.1,Pseudomonas aeruginosa strain 243931 chromosome
NZ_CP012013.1,Staphylococcus aureus subsp. aureus strain Be62 chromosome
NZ_CP022022.1,Capnocytophaga endodontalis strain ChDC OS43 chromosome
NZ_CP075595.1,Pseudomonas sp. RC3H12 chromosome
NZ_CP031093.1,Hydrocarboniclastica marina strain soil36-7 chromosome
NZ_AP018410.1,Mycobacterium pseudoshottsii JCM 15466 chromosome
NZ_CP030007.1,Enterobacter hormaechei subsp. xiangfangensis strain Pb204 chromosome
NZ_CP007229.1,Mycoplasma dispar strain ATCC 27140 chromosome
NZ_CP030241.1,Moraxella bovis strain Epp63 (300) chromosome
NZ_CP014008.1,Klebsiella pneumoniae subsp. pneumoniae strain RJF293 chromosome
NZ_CP069450.1,Butyricimonas virosa strain FDAARGOS_1229 chromosome
NZ_CP014955.1,Mycobacteroides abscessus strain FLAC013 chromosome
NZ_CP068089.1,Sphingobacterium multivorum strain FDAARGOS_1140 chromosome
NZ_CP065745.1,Aeromonas allosaccharophila strain FDAARGOS_933 chromosome
NZ_CP023698.1,Streptomyces viridifaciens strain ATCC 11989 chromosome
NZ_CP056395.1,Citrobacter freundii strain RHBSTW-00589 chromosome
NZ_LS991953.1,Mycoplasma synoviae strain NCTC10124 chromosome 1
NZ_CP026365.1,Neobacillus thermocopriae strain DUT50_236 chromosome
NZ_CP039603.1,Salmonella enterica subsp. enterica serovar 1
NC_014652.1,Caldicellulosiruptor hydrothermalis 108
NZ_CP034115.1,Staphylococcus epidermidis strain CDC121 chromosome
NZ_CP044492.1,Streptococcus mutans strain T8 chromosome
NZ_CP014444.1,Staphylococcus aureus strain USA300-SUR24 chromosome
NZ_CP028217.1,Bacillus subtilis strain SRCM102751 chromosome
NZ_CP049204.1,Escherichia coli strain PapM-32-1 chromosome
NZ_CP035688.1,Vibrio metoecus strain 08-2459 chromosome 1
NZ_CP007475.1,Ehrlichia chaffeensis str. Jax chromosome
NZ_CP039031.1,Acinetobacter indicus strain yy_1 chromosome
NZ_CP038972.1,Piscirickettsia salmonis strain Psal-069 chromosome
NZ_CP052103.1,Ralstonia solanacearum strain FJAT15252.F50 plasmid Plas1
NC_018712.1,Streptococcus dysgalactiae subsp. equisimilis RE378
NZ_CP013980.1,Staphylococcus equorum strain KM1031 chromosome
NZ_CP055233.1,Bradyrhizobium diazoefficiens strain 113-2 chromosome
NZ_CP040514.1,Bacillus altitudinis strain GQYP101 chromosome
NZ_CP034120.1,Glaciecola amylolytica strain THG-3.7 chromosome
NZ_CP006762.1,Yersinia pestis 1413 chromosome
NZ_CP047777.1,Staphylococcus aureus strain UP_1632 chromosome
NZ_CP024647.1,Bacillus sp. Lzh-5 chromosome
NC_013850.1,Klebsiella variicola At-22
NZ_CP020921.1,Thermodesulfobium acidiphilum strain 3127-1 chromosome
NZ_CP017747.1,Bacillus velezensis strain SYBC H47 chromosome
NZ_CP039176.1,Piscirickettsia salmonis strain Psal-139 chromosome
NZ_CP018221.1,Tardibacter chloracetimidivorans strain JJ-A5 chromosome
NZ_CP019573.1,Auricoccus indicus strain S31 chromosome
NC_009997.1,Shewanella baltica OS195
NZ_CP031518.1,Treponema ruminis strain RU1 chromosome
NZ_CP011144.1,Pseudoxanthomonas suwonensis strain J1 chromosome
NZ_CP064833.1,Morganella morganii subsp. morganii strain 1607-15304 chromosome
NZ_CP024074.1,Helicobacter pylori strain 7.13_R2a chromosome
NZ_CP028190.1,Staphylococcus aureus strain CFSAN018749 chromosome
NZ_CP026786.1,Shigella dysenteriae strain NCTC 9718 chromosome
NZ_AP013072.1,Streptococcus anginosus subsp. whileyi MAS624 chromosome
NZ_CP009898.1,Burkholderia pseudomallei Pasteur 52237 chromosome 2
NZ_CP021130.1,Meiothermus taiwanensis WR-220 chromosome
NZ_CP041360.1,Spirosoma sp. KCTC 42546 chromosome
NZ_CP019408.1,Salmonella enterica subsp. enterica serovar Crossness str. 1422-74 chromosome
NZ_CP032922.1,Agrobacterium tumefaciens strain 1D1108 chromosome linear
NZ_CP026730.1,Streptomyces sp. CB09001 chromosome
NZ_CP065460.1,Klebsiella pneumoniae strain Gordon chromosome
NZ_CP038445.1,Aeromonas media strain R25-3 chromosome
NZ_CP041965.1,Xanthomonas arboricola strain SL2098 chromosome
NZ_CP040630.1,Bacteroides sp. PHL 2737 chromosome
NZ_CP039489.1,Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000752 chromosome
NZ_LR134237.1,Escherichia coli strain NCTC9022 chromosome 1
NZ_CP037960.1,Salmonella enterica subsp. enterica serovar Goldcoast strain R18.0877 chromosome
NZ_CP053048.1,Salmonella enterica subsp. enterica serovar Derby strain CVM 30155 chromosome
NZ_CP021389.1,Bifidobacterium breve strain NRBB57 chromosome
NC_008229.1,Helicobacter acinonychis str. Sheeba
NC_014973.1,Geobacter sp. M18
NZ_AP022673.1,Sphingomonas sp. HMP9 chromosome
NZ_CP042931.1,Acinetobacter baumannii strain ABCR01 chromosome
NZ_CP014471.1,Bacillus subtilis subsp. natto strain CGMCC 2108 chromosome
NZ_CP017519.1,Mannheimia haemolytica strain 22549 chromosome
NZ_CP026622.1,Bordetella pertussis strain J528 chromosome
NZ_CP065723.1,Pediococcus pentosaceus strain FDAARGOS_873 chromosome
NZ_CP012505.1,Francisella persica ATCC VR-331 strain FSC845 chromosome
NZ_CP068147.1,Yersinia enterocolitica strain FDAARGOS_1090 chromosome
NZ_CP064050.1,Enterococcus faecium strain VRE3370 plasmid unnamed1
NC_023035.1,Salinispira pacifica
NZ_CP028542.2,Klebsiella pneumoniae strain WCHKP2 chromosome
NZ_CP047045.1,Terricaulis silvestris strain 0127_4 chromosome
NZ_CP018874.1,Bacillus megaterium strain JX285 chromosome
NZ_CP007425.1,Salmonella enterica subsp. enterica serovar Enteritidis str. SA20082034 chromosome
NZ_CP066492.1,Staphylococcus aureus strain nan_175_F371_ch chromosome
NZ_CP059196.1,Blattabacterium cuenoti strain METHAsp chromosome
NZ_AP019543.1,Staphylococcus aureus strain KG-18 chromosome
NZ_AP022177.1,Escherichia coli strain WP7-S17-ESBL-04 chromosome
NZ_CP063942.1,Klebsiella quasipneumoniae strain BS418 chromosome
NZ_CP041659.1,Sphingomonas sp. AE3 chromosome
NZ_CP011746.1,Bordetella pertussis strain I959 chromosome
NZ_CP024138.1,Escherichia coli strain 14EC020 chromosome
NZ_CP009092.1,Salmonella enterica subsp. enterica serovar Enteritidis strain OLF-SE10-10052 chromosome
NZ_CP045567.1,Lacticaseibacillus paracasei strain TK-P4A chromosome
NZ_CP050036.1,Escherichia coli strain 58-3 chromosome
NZ_CP050811.1,Yokenella regensburgei strain W13 chromosome
NZ_CP010265.1,Bordetella pertussis strain I669 chromosome
NZ_HG938370.1,Burkholderia cenocepacia H111 chromosome 1
NZ_CP019680.1,Brucella melitensis strain C-573 chromosome II
NZ_CP018900.1,Campylobacter coli strain YH502 chromosome
NZ_CP029862.1,Salmonella enterica subsp. enterica serovar Typhi strain 343077_214162 chromosome
NZ_CP007016.1,Streptococcus mutans UA159-FR chromosome
NZ_CP008957.1,Escherichia coli O157:H7 str. EDL933 chromosome
NZ_CP064937.1,Bacteroides sp. HF-162 chromosome
NZ_CP016784.1,Bacillus pumilus strain PDSLzg-1 chromosome
NZ_CP002885.1,Mycobacterium tuberculosis CCDC5180 chromosome
NZ_CP009426.1,Mycobacterium tuberculosis strain 96075 chromosome
NZ_CP019070.1,Poseidonibacter parvus strain LPB0137 chromosome
NZ_CP030190.1,Salmonella enterica strain SA20104250 chromosome
NZ_CP024168.1,Salmonella enterica subsp. enterica serovar Tennessee strain CFSAN070643 chromosome
NZ_CP041659.1,Sphingomonas sp. AE3 chromosome
NZ_CP043080.1,Bordetella holmesii strain J312 chromosome
NZ_CP017152.1,Acinetobacter baumannii DU202 chromosome
NC_017735.1,Helicobacter cetorum MIT 99-5656
NZ_CP038394.1,Escherichia coli O157:H7 strain DEC5A chromosome
NZ_LN829119.1,Candidatus Filomicrobium marinum strain strain Y chromosome 1
NC_017544.1,Listeria monocytogenes 10403S
NC_016147.2,Pseudoxanthomonas spadix BD-a59
NZ_CP039477.1,Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000961 chromosome
NZ_CP009623.1,Staphylococcus agnetis strain 908 chromosome
NZ_CP015970.1,Acidipropionibacterium acidipropionici strain F3E8 chromosome
NC_009438.1,Shewanella putrefaciens CN-32
NZ_CP021535.1,Escherichia coli strain AR_0119 chromosome
NZ_CP034121.1,Microbacterium sp. RG1 chromosome
NZ_LS483312.1,Staphylococcus lugdunensis strain NCTC7990 chromosome 1
NZ_CP035049.1,Acinetobacter baumannii strain ABUH773 chromosome
NZ_CP061613.1,Acinetobacter seifertii strain AS51 chromosome
NZ_CP027806.1,Candidatus Cyclonatronum proteinivorum strain Omega chromosome
NZ_CP032055.1,Acinetobacter baumannii strain A320 (RUH134) chromosome
NZ_CP070471.1,Pseudomonas aeruginosa strain B17932 chromosome
NZ_CP018305.1,Mycobacterium tuberculosis strain M0018684-2 chromosome
NZ_LS398110.1,Bradyrhizobium vignae isolate ORS3257 chromosome BRAD3257
NZ_CP063301.1,Klebsiella grimontii strain M5a1 chromosome
NZ_HG969191.1,Bartonella henselae strain BM1374165 chromosome I
NC_013861.1,Legionella longbeachae NSW150
NZ_CP027517.1,Enterococcus faecium strain AUSMDU00004024 chromosome
Drosophila,melanogaster isolate wMelpop chromosome
NZ_CP031249.1,Haemophilus influenzae strain M15895 chromosome
NZ_CP060691.1,Mycoplasma sp. Pen4 chromosome
NZ_CP063233.1,Pseudomonas fluorescens strain KF1 chromosome
NC_017259.1,Buchnera aphidicola str. Ua (Uroleucon ambrosiae)
NZ_CP061769.1,Nocardioides sp. ZJ1313 chromosome
NZ_CP068055.1,Sutterella wadsworthensis strain FDAARGOS_1159 chromosome
NZ_LR594037.1,Streptococcus anginosus strain NCTC11064 chromosome 1
NZ_CP011185.1,Bordetella pertussis strain H637 chromosome
NZ_CP031507.1,Dickeya fangzhongdai strain QZH3 chromosome
NZ_AP022494.1,Citrobacter portucalensis strain STN0717-36 chromosome
NZ_CP009967.1,Bacillus cereus E33L plasmid pBCO_1
NZ_CP016768.2,Candidatus Nanopelagicus limnes isolate MMS-21-122 chromosome
NZ_CP041165.1,Sulfurimonas sp. B2 chromosome
NZ_CP039695.1,Novosphingobium sp. ABRDHK2 chromosome
NZ_CP068988.1,Bacillus paralicheniformis strain SUBG0010 chromosome
NZ_CP066547.1,Lactiplantibacillus plantarum strain SHY 21-2 chromosome
NC_014924.1,Pseudoxanthomonas suwonensis 11-1
NZ_CP049316.1,Caballeronia sp. SBC2 chromosome
NZ_CP017716.1,Lacticaseibacillus paracasei strain TK1501 chromosome
NC_021252.1,Amycolatopsis keratiniphila
NZ_CP029036.1,Salmonella enterica subsp. enterica serovar Senftenberg str. 361154004 chromosome
NZ_CP032049.1,Rickettsia japonica strain LA4/2015 chromosome
NZ_CP058615.1,Staphylococcus aureus strain 110900 chromosome
NZ_CP061298.1,Polynucleobacter asymbioticus strain MWH-Mekk-C3 chromosome
NZ_CP020574.1,Acinetobacter baumannii strain 15A5 chromosome
NZ_AP024210.1,Lactococcus lactis subsp. cremoris strain G3-2 chromosome
NZ_CP023714.1,Rhodococcus ruber strain YC-YT1 chromosome
NZ_CP040425.1,Acinetobacter baumannii strain PB364 chromosome
NZ_CP017731.1,Chlamydia trachomatis strain SQ29 chromosome
NC_002528.1,Buchnera aphidicola str. APS (Acyrthosiphon pisum)
NZ_CP020915.1,Bacillus subtilis strain 50-1 chromosome
NZ_CP022904.1,Staphylococcus aureus strain 629 chromosome
NZ_CP011847.1,Clostridioides difficile strain DSM 27639 chromosome
NZ_CP011183.1,Bordetella pertussis strain H520 chromosome
NZ_CP028201.1,Bacillus subtilis strain SRCM102753 chromosome
NZ_CP072597.1,Lysobacter sp. K5869 chromosome
NZ_CP004870.1,Bacillus thuringiensis serovar kurstaki str. HD-1 chromosome
NZ_CP026548.1,Faecalibacterium prausnitzii strain 942/30-2 chromosome
NZ_CP040172.1,Vibrio cholerae strain VC1374 chromosome 1
NZ_CP013021.1,Agarivorans gilvus strain WH0801 chromosome
NZ_CP009888.1,Pseudoalteromonas piratica strain OCN003 chromosome 1
NC_007651.1,Burkholderia thailandensis E264 chromosome I
NZ_CP013248.1,Vibrio parahaemolyticus strain FORC_022 chromosome 1
NZ_CP069535.1,Rhodanobacter sp. FDAARGOS 1247 strain FDAARGOS_1247 chromosome
NZ_CP072625.1,Leptospira borgpetersenii strain FMAS_PN2 chromosome 2
NZ_CP026610.1,Bacillus velezensis strain CGMCC 11640 chromosome
NZ_CP066559.1,Histophilus somni strain ASc-MMNZ-VFA-071 chromosome
NZ_CP024269.1,Escherichia coli strain F8111-1SC3 chromosome
NZ_CP028131.1,Salmonella enterica subsp. enterica serovar Indiana strain JT 01 chromosome
NZ_LN999997.1,Salmonella enterica subsp. enterica serovar Typhimurium isolate SO4698-09 chromosome I
NZ_CP028968.1,Aminobacter sp. MSH1 chromosome
NZ_CP013103.1,Paraburkholderia caribensis strain MWAP64 chromosome 2
NC_014734.1,Paludibacter propionicigenes WB4
NZ_CP011767.1,Bordetella pertussis strain J110 chromosome
NZ_CP007501.1,Polynucleobacter duraquae strain MWH-MoK4 chromosome
NZ_CP043079.1,Bordetella parapertussis strain J324 chromosome
NZ_CP011995.1,Porphyromonas gingivalis strain A7436 chromosome
NZ_CP012144.1,Salmonella enterica subsp. enterica serovar Typhimurium strain FORC_020 chromosome
NC_011662.2,Thauera sp. MZ1T
NZ_CP017158.1,Bordetella pertussis strain J165 chromosome
NZ_CP010550.1,Mycoplasma pneumoniae MAC chromosome
NC_017790.1,Deinococcus gobiensis I-0
NZ_CP053928.1,Nocardioides sp. WS12 chromosome
NZ_CP015107.1,Flavobacterium columnare strain C#2 chromosome
NZ_CP043486.1,Escherichia coli strain SL112 chromosome
NZ_CP025531.1,Bordetella pertussis strain I955 chromosome
NZ_CP040038.1,Klebsiella pneumoniae strain KPC160125 chromosome
NZ_CP034694.1,Lactiplantibacillus plantarum strain FBL-3a chromosome
NC_018498.1,Mycoplasma genitalium M2288
NC_009487.1,Staphylococcus aureus subsp. aureus JH9
NZ_CP034938.1,Pectobacterium odoriferum strain JK2.1 chromosome
NZ_CP027105.1,Escherichia coli strain RM14721 chromosome
NZ_CP047268.1,Bacillus velezensis strain DH8043 chromosome
NZ_LS483438.1,Haemophilus influenzae strain NCTC12975 chromosome 1
NZ_CP012323.1,Clostridioides difficile strain DSM 28669 chromosome
NC_012032.1,Chloroflexus aurantiacus Y-400-fl
NZ_CP029087.1,Staphylococcus aureus strain AR461 chromosome
NC_007793.1,Staphylococcus aureus subsp. aureus USA300_FPR3757
NZ_CP011801.1,Nitrospira moscoviensis strain NSP M-1 chromosome
NZ_CP033912.1,Chryseobacterium shandongense strain H5143 chromosome
NZ_CP017873.1,Campylobacter coli strain WA333 chromosome
NZ_CP014129.2,Pantoea vagans strain FDAARGOS_160 chromosome
NZ_CP066794.1,Erwinia amylovora strain 17-2187 chromosome
NC_020386.1,Dehalococcoides mccartyi DCMB5
NZ_CP039960.1,Klebsiella pneumoniae strain EAN40 chromosome
NZ_LR134080.1,Escherichia coli strain NCTC9082 chromosome 1
NZ_CP020817.1,Enterobacter sp. Crenshaw chromosome
NZ_CP043318.1,Enterobacter chengduensis strain WCHECl-C4 = WCHECh050004 chromosome
NZ_CP056546.1,Citrobacter sp. RHBSTW-00424 chromosome
NZ_CP049714.1,Apibacter sp. B2966 chromosome
NZ_CP029694.1,Streptococcus pyogenes strain ABC020055975 chromosome
NZ_CP071009.1,Enterobacter hormaechei strain RIVM_C034192 chromosome
NZ_CP065959.1,Streptomyces alfalfae strain Men-myco-93-63 chromosome
NZ_CP066016.1,Acinetobacter baumannii strain FDAARGOS_1036 chromosome
NZ_CP032402.1,Thermomonospora amylolytica strain YIM 77502 chromosome
NZ_CP022896.1,Staphylococcus aureus strain 277 chromosome
NZ_CP048222.1,Rhodocytophaga rosea strain 172606-1 chromosome
NZ_AP024201.1,Staphylococcus argenteus strain Tokyo13069 chromosome
NZ_CP017114.1,Cobetia marina strain JCM 21022 chromosome
NZ_CP068079.1,Staphylococcus carnosus strain FDAARGOS_1147 chromosome
NZ_CP037928.1,Klebsiella pneumoniae subsp. pneumoniae strain KP-8788 chromosome
NC_009783.1,Vibrio campbellii ATCC BAA-1116 chromosome I
NZ_CP033844.1,Klebsiella oxytoca strain FDAARGOS_500 chromosome
NZ_CP018362.1,Klebsiella oxytoca strain CAV1752 chromosome
NC_007954.1,Shewanella denitrificans OS217
NZ_LR134527.1,Bartonella elizabethae strain NCTC12898 chromosome 1
NZ_CP066067.1,Corynebacterium bovis strain FDAARGOS_1052 chromosome
NZ_CP026463.1,Bordetella pertussis strain J250 chromosome
NZ_CP019732.1,Pseudomonas syringae pv. actinidiae strain CRAFRU 14.08 chromosome
NZ_CP015515.1,Rathayibacter tritici strain NCPPB 1953 chromosome
NZ_CP054058.1,Scandinavium goeteborgense strain CCUG 66741 chromosome
NZ_CP011015.1,Campylobacter coli strain FB1 chromosome
NC_013740.1,Acidaminococcus fermentans DSM 20731
NZ_CP025272.1,Xanthomonas vasicola pv. vasculorum strain Xv1601 chromosome
NZ_CP029962.1,Salmonella enterica subsp. enterica serovar Typhi strain 343078_228140 chromosome
NZ_CP003424.1,Serratia sp. SCBI chromosome
NZ_CP037945.1,Escherichia coli strain CFSAN027346 chromosome
NZ_CP024789.1,Nostoc flagelliforme CCNUN1 plasmid pNFSY04
NZ_CP019396.1,Pseudomonas sp. R32 chromosome
NZ_CP056775.1,Dyadobacter sp. Q3-56 chromosome
NZ_CP022097.2,Pseudomonas protegens strain FDAARGOS_307 chromosome
NZ_CP059003.1,Escherichia coli strain 2D chromosome
NZ_CP018250.1,Escherichia coli strain 10671 chromosome
NZ_CP016020.1,Bacillus weihaiensis strain Alg07 chromosome
NZ_CP062803.1,Cupriavidus basilensis strain DSM 11853 chromosome 1
NC_022664.1,Spiribacter curvatus
NC_004337.2,Shigella flexneri 2a str. 301 chromosome
NZ_CP021104.1,Limosilactobacillus fermentum strain FTDC 8312 chromosome
NZ_CP041429.1,Escherichia coli strain STEC367 chromosome
NZ_CP030097.1,Bacillus amyloliquefaciens strain SH-B74 chromosome
NZ_CP045969.1,Listeria monocytogenes strain AUSMDU00007774 chromosome
NZ_CP018249.1,Bacillus sp. H15-1 chromosome
NZ_CP065457.1,Klebsiella pneumoniae strain Magic conch shell chromosome
NZ_LR134220.1,Escherichia coli strain NCTC11121 chromosome 1
NZ_CP048115.1,Mucilaginibacter sp. 14171R-50 chromosome
NZ_CP047765.1,Enterobacter hormaechei strain Eho-1 chromosome
NZ_CP011530.1,Mycobacteroides immunogenum strain CCUG 47286 chromosome
NZ_CP040993.1,Klebsiella pneumoniae strain FDAARGOS_775 chromosome
NZ_CP019415.1,Salmonella enterica subsp. enterica serovar Moscow str. S-1843 chromosome
NZ_CP046777.1,Vibrio parahaemolyticus strain 2014V-1125 chromosome 2
NC_021814.1,Salmonella enterica subsp. enterica serovar Typhimurium var. 5- str. CFSAN001921
NZ_LT618793.1,Propionibacterium freudenreichii isolate PFRJS-23 chromosome I
NC_017770.1,Solitalea canadensis DSM 3403
NZ_CP046329.1,Shewanella putrefaciens strain FDAARGOS_681 chromosome
NZ_CP015191.1,Corynebacterium pseudotuberculosis strain 48 chromosome
NZ_AP022613.1,Mycobacterium conspicuum strain JCM 14738 chromosome
NC_010407.1,Clavibacter michiganensis subsp. sepedonicus
NC_021896.1,Chlamydia trachomatis RC-J/943
NZ_CP031114.1,Bordetella pertussis strain UK76 chromosome
NZ_CP050914.1,Acinetobacter baumannii strain DT-Ab007 chromosome
NZ_CP035093.1,Brevundimonas diminuta strain ATCC(B) 19146 chromosome
NC_017208.1,Bacillus thuringiensis serovar chinensis CT-43
NZ_CP020409.2,Yersinia sp. FDAARGOS_228 chromosome
